size,R_cut,grid,eta_eV,median_Gamma_Ncells_meV,argmax_E_minus_ED_eV
5x5,0,60,0.01,2524.4490,-0.9097
5x5,0,60,0.02,2678.7630,-0.9097
5x5,0,60,0.05,2697.6879,-0.9097
5x5,0,120,0.01,2588.4063,-0.9097
5x5,0,120,0.02,2629.7645,-0.9097
5x5,0,120,0.05,2654.7234,-0.9390
5x5,0,240,0.01,2582.0924,-0.9097
5x5,0,240,0.02,2627.5712,-0.9097
5x5,0,240,0.05,2655.5494,-0.9349
5x5,1,60,0.01,2538.1466,-1.4064
5x5,1,60,0.02,2523.9572,-1.3568
5x5,1,60,0.05,2472.0839,-1.3073
5x5,1,120,0.01,2556.5157,-1.1825
5x5,1,120,0.02,2549.0634,-1.1825
5x5,1,120,0.05,2541.5795,-1.3052
5x5,1,240,0.01,2554.6264,-1.1834
5x5,1,240,0.02,2553.6336,-1.2387
5x5,1,240,0.05,2543.0612,-1.2351
5x5,2,60,0.01,2538.8972,-0.9097
5x5,2,60,0.02,2556.6281,-1.1961
5x5,2,60,0.05,2508.7824,-1.1961
5x5,2,120,0.01,2515.6701,-1.1824
5x5,2,120,0.02,2539.5071,-1.1156
5x5,2,120,0.05,2531.0958,-1.1961
5x5,2,240,0.01,2526.3976,-1.1834
5x5,2,240,0.02,2534.0139,-1.1268
5x5,2,240,0.05,2534.4569,-1.1552
5x5,3,60,0.01,2556.5168,-0.9097
5x5,3,60,0.02,2572.3468,-1.0854
5x5,3,60,0.05,2554.7742,-1.1961
5x5,3,120,0.01,2528.7832,-1.1824
5x5,3,120,0.02,2536.7725,-1.1156
5x5,3,120,0.05,2533.1868,-1.1156
5x5,3,240,0.01,2527.6313,-1.1834
5x5,3,240,0.02,2524.3006,-1.1268
5x5,3,240,0.05,2528.7932,-1.1156
6x6,0,120,0.01,2576.6739,-0.9095
6x6,0,120,0.02,2612.6873,-0.9095
6x6,0,240,0.01,2568.1040,-0.9095
6x6,0,240,0.02,2611.4029,-0.9513
6x6,1,120,0.01,2534.7173,-1.4097
6x6,1,120,0.02,2527.1427,-1.3567
6x6,1,240,0.01,2534.5105,-1.1834
6x6,1,240,0.02,2536.6293,-1.3468
6x6,2,120,0.01,2495.5533,-1.1826
6x6,2,120,0.02,2502.6836,-1.1826
6x6,2,240,0.01,2509.5538,-1.1832
6x6,2,240,0.02,2511.8726,-1.1271
6x6,3,120,0.01,2504.8634,-1.1826
6x6,3,120,0.02,2517.0235,-1.1826
6x6,3,240,0.01,2504.0140,-1.1832
6x6,3,240,0.02,2509.2036,-1.1271
7x7,0,60,0.01,2485.3808,-0.9095
7x7,0,60,0.02,2634.8464,-0.9095
