size,R_cut,n_sites,fine_grid,max_dM_over_maxM,sv_mismatch_pi_blocks,diag_max_dM_over_max,diag_abs_mismatch,maxM_pi_eV,maxMdiag_eV
9x9,0,1,60,4.0851e-01,4.0851e-01,4.0851e-01,4.0851e-01,6.4606,6.4606
9x9,1,5,60,1.7367e-01,2.3589e-01,1.7113e-01,1.7113e-01,6.4606,6.4606
9x9,2,13,60,4.9711e-02,7.1884e-02,4.8084e-02,4.8084e-02,6.4606,6.4606
9x9,3,29,60,2.2704e-02,2.5718e-02,2.0915e-02,2.0915e-02,6.4606,6.4606
12x12,0,1,60,7.3098e-01,9.7203e-01,7.2972e-01,7.2972e-01,6.3664,6.3664
12x12,1,5,60,1.8606e-01,1.8404e-01,1.8245e-01,1.8245e-01,6.3664,6.3664
12x12,2,13,60,1.1630e-01,1.1813e-01,1.1480e-01,1.1480e-01,6.3664,6.3664
12x12,3,29,60,2.5817e-02,3.0806e-02,2.3921e-02,2.3921e-02,6.3664,6.3664
9x9,4,49,60,1.5740e-02,1.5807e-02,1.3997e-02,1.3997e-02,6.4606,6.4606
9x9,5,81,60,1.2464e-02,1.0844e-02,1.0836e-02,1.0836e-02,6.4606,6.4606
9x9,6,113,60,1.0763e-02,9.9708e-03,9.6235e-03,9.6235e-03,6.4606,6.4606
12x12,4,49,60,1.5742e-02,1.6892e-02,1.4996e-02,1.4996e-02,6.3664,6.3664
12x12,5,81,60,1.2370e-02,1.2730e-02,1.2249e-02,1.2249e-02,6.3664,6.3664
12x12,6,113,60,1.1527e-02,1.1745e-02,1.1327e-02,1.1327e-02,6.3664,6.3664
