 written on  4Sep2026 at 12:17:10 
   2.1354903421575360       -1.2329259238968218        0.0000000000000000     
   2.1354903421575360        1.2329259238968218        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.875316257699998     
           5
         637
    1    2    1    1    1    1    2    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    2    1    1    1    1    2    1

  -16    8    0
    1    1    0.15830810E-08  0.47184479E-15
    2    1   -0.11318644E-08 -0.22431709E-13
    3    1   -0.11318715E-08  0.15266434E-13
    4    1   -0.32366214E-13 -0.57081882E-13
    5    1   -0.35457863E-13  0.24023139E-13
    1    2    0.76360047E-10 -0.10354564E-13
    2    2    0.13810638E-08  0.98289432E-14
    3    2   -0.17014346E-08  0.13242879E-13
    4    2    0.45491093E-13 -0.54397449E-13
    5    2   -0.11885503E-13  0.48879885E-13
    1    3    0.76390289E-10  0.23554075E-13
    2    3   -0.17013942E-08  0.57245875E-15
    3    3    0.13810524E-08  0.93917929E-14
    4    3   -0.16340095E-13  0.29134418E-13
    5    3    0.52566337E-14 -0.12885930E-13
    1    4   -0.63266418E-13 -0.16210017E-13
    2    4   -0.21473517E-13 -0.88713036E-14
    3    4    0.49239564E-14  0.10331567E-13
    4    4    0.14018258E-04 -0.38082818E-13
    5    4    0.63847067E-05  0.17987348E-13
    1    5    0.61162314E-13  0.56976817E-14
    2    5    0.26754139E-13  0.34856507E-13
    3    5    0.36535042E-13  0.24834844E-13
    4    5    0.93148134E-05 -0.82902435E-14
    5    5    0.14018258E-04 -0.33466719E-13

  -16    9    0
    1    1   -0.10841703E-08  0.23793467E-13
    2    1    0.35604302E-09  0.79918711E-14
    3    1   -0.17010384E-08  0.26027791E-13
    4    1   -0.30904962E-13 -0.18486437E-13
    5    1    0.26668628E-14 -0.46533598E-13
    1    2    0.35604583E-09  0.51156995E-14
    2    2   -0.10841262E-08 -0.17191110E-13
    3    2   -0.17010442E-08 -0.26466676E-13
    4    2   -0.34365269E-13  0.21462006E-13
    5    2   -0.23449847E-13  0.39165592E-14
    1    3    0.78809424E-09  0.41702752E-14
    2    3    0.78808655E-09  0.26506575E-13
    3    3   -0.11954265E-08 -0.32199937E-13
    4    3    0.10161788E-13 -0.11932789E-13
    5    3    0.29378285E-13 -0.53135490E-13
    1    4    0.24005356E-14 -0.92940884E-14
    2    4    0.35136275E-14 -0.55400181E-13
    3    4   -0.29327314E-13 -0.38579308E-13
    4    4   -0.35523624E-04 -0.34023132E-13
    5    4    0.63847062E-05  0.38156978E-13
    1    5    0.19735875E-13  0.24337006E-13
    2    5   -0.35160712E-13  0.25762122E-13
    3    5   -0.30916009E-13  0.24473580E-13
    4    5    0.15017469E-04  0.45938947E-13
    5    5   -0.35523625E-04 -0.84914714E-14

  -15    6    0
    1    1    0.23210638E-08 -0.44408921E-15
    2    1    0.78802135E-09  0.12860372E-13
    3    1   -0.13348005E-08  0.18221535E-13
    4    1    0.35888384E-13 -0.22763321E-13
    5    1    0.97348135E-14 -0.45326850E-13
    1    2   -0.39705118E-09  0.41086926E-14
    2    2    0.64081322E-09  0.59535710E-14
    3    2    0.10078667E-08  0.84220825E-14
    4    2    0.48478673E-13  0.50310342E-13
