 written on  4Sep2026 at 12:19:36 
   2.1354903421575360       -1.2329259238968218        0.0000000000000000     
   2.1354903421575360        1.2329259238968218        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.875316257699998     
           5
         741
    1    1    2    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    2    1    1

  -17    8    0
    1    1    0.12754893E-08 -0.99226183E-14
    2    1    0.32645942E-09 -0.55719318E-14
    3    1   -0.10511129E-09 -0.19365586E-13
    4    1    0.58306842E-13 -0.10866184E-13
    5    1   -0.16003328E-13 -0.21549416E-13
    1    2   -0.13019240E-09  0.11707649E-13
    2    2    0.51114555E-09  0.15926496E-13
    3    2   -0.15084742E-08  0.11685097E-13
    4    2    0.23413000E-14 -0.20020964E-13
    5    2    0.23174687E-13  0.53083599E-14
    1    3    0.44198830E-09 -0.13983606E-13
    2    3   -0.14651018E-08  0.83977963E-14
    3    3    0.21660551E-08 -0.69215467E-14
    4    3    0.28274836E-13  0.70793121E-13
    5    3    0.17193519E-13 -0.67447689E-13
    1    4   -0.53397153E-13  0.28200222E-13
    2    4    0.33608721E-13  0.33120192E-13
    3    4   -0.15680196E-13  0.70098795E-14
    4    4    0.11707694E-05 -0.34013591E-14
    5    4   -0.14120924E-04 -0.39796291E-13
    1    5   -0.46563024E-14 -0.31111707E-13
    2    5   -0.47653333E-13  0.10211569E-13
    3    5    0.61418383E-14  0.32718102E-14
    4    5   -0.94183394E-07  0.83474894E-14
    5    5    0.11707697E-05  0.17643005E-13

  -17    9    0
    1    1    0.12754565E-08 -0.96554709E-14
    2    1   -0.10520053E-09 -0.61790850E-14
    3    1    0.32645049E-09 -0.16489414E-13
    4    1   -0.47134349E-14 -0.60723523E-13
    5    1    0.60386861E-14  0.31684720E-13
    1    2    0.44229846E-09  0.98688419E-14
    2    2    0.21661333E-08  0.17097435E-13
    3    2   -0.14651258E-08  0.19333493E-14
    4    2    0.35504965E-14 -0.50817459E-13
    5    2    0.29501062E-13  0.18044479E-13
    1    3   -0.13019347E-09 -0.18693380E-13
    2    3   -0.15086680E-08  0.12856903E-13
    3    3    0.51123319E-09 -0.12143064E-13
    4    3    0.24331658E-13 -0.31050432E-14
    5    3   -0.30997773E-13  0.89933481E-14
    1    4    0.27026666E-13  0.17225888E-13
    2    4    0.57108173E-14 -0.47146647E-14
    3    4   -0.35491377E-13 -0.21158071E-13
    4    4    0.11707705E-05  0.15909149E-13
    5    4    0.57921249E-05 -0.94403652E-14
    1    5   -0.47947478E-13 -0.90739146E-14
    2    5   -0.14218352E-13 -0.42743553E-13
    3    5   -0.12391035E-13 -0.15772013E-13
    4    5   -0.24865457E-05  0.31797481E-13
    5    5    0.11707706E-05 -0.17933571E-13

  -17   10    0
    1    1   -0.24576007E-08 -0.19862584E-13
    2    1    0.27514681E-08 -0.97595543E-14
    3    1   -0.15085414E-08 -0.26798876E-13
    4    1    0.40343274E-13  0.86165000E-14
    5    1    0.19939734E-13  0.56771076E-15
    1    2    0.27515248E-08 -0.36836853E-14
    2    2   -0.24576096E-08  0.21010971E-13
    3    2   -0.15086004E-08  0.12662614E-13
    4    2    0.43402340E-13  0.51015576E-14
    5    2   -0.22098742E-13  0.83068572E-14
    1    3   -0.40350126E-10  0.48233986E-14
    2    3   -0.40343338E-10  0.19545997E-13
    3    3    0.10685112E-08 -0.85556562E-14
    4    3    0.38549838E-13 -0.12547341E-13
    5    3   -0.14211842E-13 -0.13530036E-13
    1    4    0.62143791E-13  0.36840208E-14
    2    4    0.86335280E-14  0.58613858E-13
    3    4    0.30111694E-13  0.38205770E-13
