 written on  4Sep2026 at 12:21:35 
   2.1354903421575360       -1.2329259238968218        0.0000000000000000     
   2.1354903421575360        1.2329259238968218        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.875316257699998     
           5
         795
    1    2    1    1    1    1    2    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    2    1    1    1    1    2    1

  -18    9    0
    1    1    0.21261060E-08 -0.71158357E-14
    2    1   -0.45813786E-09  0.11241875E-13
    3    1   -0.45813150E-09  0.15599501E-13
    4    1   -0.20308984E-13 -0.21622709E-13
    5    1    0.12086302E-13 -0.26105352E-14
    1    2   -0.11337377E-09 -0.30488632E-13
    2    2    0.20396342E-08 -0.12012960E-13
    3    2   -0.38711611E-09  0.59362237E-14
    4    2   -0.31649444E-13 -0.86219466E-14
    5    2    0.26840572E-13 -0.15032833E-13
    1    3   -0.11337616E-09  0.67003694E-14
    2    3   -0.38714597E-09 -0.20165293E-13
    3    3    0.20396313E-08  0.13667886E-13
    4    3   -0.21817185E-13  0.15195394E-13
    5    3    0.12724563E-13 -0.76750011E-13
    1    4    0.37715989E-13  0.43536264E-13
    2    4    0.45330912E-13 -0.66012922E-13
    3    4    0.64202717E-13  0.11040315E-13
    4    4   -0.48745036E-05 -0.20255065E-13
    5    4    0.65480029E-05 -0.35468156E-13
    1    5   -0.20134406E-13 -0.70995315E-13
    2    5   -0.20459491E-13  0.38274384E-13
    3    5   -0.39952885E-13 -0.10600314E-13
    4    5   -0.59891911E-05  0.37615744E-13
    5    5   -0.48745036E-05 -0.42492052E-14

  -18   10    0
    1    1    0.19401248E-08  0.47354481E-13
    2    1   -0.69690069E-10 -0.17392338E-13
    3    1   -0.38714796E-09  0.80768725E-14
    4    1   -0.74494713E-14 -0.38564356E-13
    5    1   -0.34643841E-13 -0.19368924E-13
    1    2   -0.69580902E-10  0.24348579E-13
    2    2    0.19401347E-08 -0.41473769E-13
    3    2   -0.38714389E-09  0.13610640E-13
    4    2    0.40458590E-14 -0.40611777E-13
    5    2   -0.19664799E-13 -0.31131356E-14
    1    3    0.22300030E-09  0.38203815E-13
    2    3    0.22302880E-09 -0.29149426E-13
    3    3    0.56456535E-09  0.17437440E-13
    4    3   -0.49387575E-14 -0.39345052E-13
    5    3   -0.51263533E-15  0.16959027E-13
    1    4    0.10131433E-13 -0.48698441E-13
    2    4   -0.54423900E-13 -0.14579059E-13
    3    4    0.53524926E-14  0.13094371E-13
    4    4    0.44796607E-05  0.40609009E-13
    5    4    0.65479928E-05 -0.15673227E-13
    1    5   -0.28748706E-13  0.19526822E-13
    2    5    0.35485272E-13 -0.18114674E-14
    3    5   -0.21542602E-13 -0.35908455E-13
    4    5    0.37010014E-05 -0.37274003E-13
    5    5    0.44796605E-05 -0.29323332E-13

  -17    7    0
    1    1   -0.22168622E-08  0.12883791E-13
    2    1    0.22296588E-09  0.10178490E-13
    3    1    0.79493384E-09 -0.12823943E-13
    4    1    0.46325589E-13  0.22191536E-13
    5    1   -0.17554952E-13  0.13260635E-13
    1    2    0.12034506E-08  0.91072982E-15
    2    2    0.37753613E-10 -0.31277064E-14
    3    2    0.17391616E-09  0.25465741E-14
    4    2    0.73769117E-13 -0.37738219E-13
    5    2   -0.21901791E-13 -0.29833704E-14
    1    3   -0.90231910E-09  0.29308153E-14
    2    3    0.81511119E-09 -0.14207385E-14
    3    3   -0.93266522E-09 -0.11855100E-13
    4    3    0.41024238E-13  0.29196055E-13
    5    3   -0.56298828E-13 -0.29177441E-13
    1    4    0.20066457E-13 -0.19896006E-14
    2    4   -0.16563663E-13  0.46243712E-13
    3    4   -0.30696701E-14 -0.29629846E-13
    4    4   -0.58422796E-05 -0.62531143E-13
    5    4    0.90528197E-06  0.39149239E-13
    1    5   -0.20042681E-13 -0.16103656E-13
    2    5   -0.13478837E-14 -0.19978113E-13
