 written on  3Sep2026 at 08:14:04 
   2.1354903421575360       -1.2329259238968218        0.0000000000000000     
   2.1354903421575360        1.2329259238968218        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.875316257699998     
           5
          31
    2    2    2    1    1    1    2    2    1    1    1    1    2    1    1
    1    1    1    2    1    1    1    1    2    2    1    1    1    2    2
    2

   -3    1    0
    1    1   -0.83074946E-03 -0.29770630E-12
    2    1   -0.54801753E-03  0.30118269E-11
    3    1    0.23749362E-02  0.18734082E-12
    4    1    0.35730614E-09 -0.24141828E-09
    5    1   -0.96931148E-09  0.16070134E-08
    1    2    0.51481484E-02 -0.12326390E-11
    2    2    0.37521529E-03  0.12589929E-12
    3    2    0.51481528E-02 -0.15734464E-11
    4    2   -0.18849566E-09  0.45009938E-09
    5    2    0.27178402E-09  0.14218652E-09
    1    3    0.23749361E-02  0.45929927E-12
    2    3   -0.54801749E-03  0.36196046E-12
    3    3   -0.83074957E-03  0.94091401E-13
    4    3   -0.11136923E-09 -0.26130260E-09
    5    3    0.10327106E-09 -0.22038225E-09
    1    4    0.18688368E-09 -0.15048033E-09
    2    4    0.24352106E-09  0.26784214E-09
    3    4   -0.42462389E-09  0.20925757E-09
    4    4    0.17910072E-02  0.42511362E-09
    5    4   -0.16006610E-01 -0.81646638E-09
    1    5   -0.23167237E-09  0.66624299E-10
    2    5   -0.11253521E-10  0.19289446E-10
    3    5    0.22611808E-09  0.31702973E-11
    4    5   -0.12350058E-01 -0.46948162E-09
    5    5    0.17910072E-02  0.40451419E-09

   -3    2    0
    1    1   -0.83074946E-03  0.46289639E-11
    2    1    0.23749350E-02  0.33695269E-12
    3    1   -0.54801760E-03  0.20178303E-13
    4    1   -0.14707001E-09 -0.18509873E-09
    5    1   -0.21074705E-10  0.31681044E-09
    1    2    0.23749350E-02  0.12887191E-11
    2    2   -0.83074945E-03 -0.29264369E-11
    3    2   -0.54801760E-03 -0.28262670E-11
    4    2    0.83903788E-11  0.20003923E-09
    5    2    0.18604267E-09 -0.40657884E-09
    1    3    0.51481494E-02  0.19359930E-11
    2    3    0.51481494E-02 -0.23873264E-11
    3    3    0.37521515E-03 -0.17033042E-11
    4    3    0.30322285E-09  0.10190958E-09
    5    3    0.72380069E-10  0.15393335E-09
    1    4   -0.22606343E-09 -0.21340425E-09
    2    4   -0.61210993E-09 -0.71884582E-10
    3    4   -0.30575661E-09  0.18687392E-09
    4    4    0.17910073E-02  0.10591320E-08
    5    4    0.12502262E-01 -0.58430916E-09
    1    5    0.77583276E-09 -0.64302359E-11
    2    5    0.34366391E-09 -0.30107038E-10
    3    5    0.37180074E-10  0.10868105E-09
    4    5   -0.80524448E-02 -0.58144602E-09
    5    5    0.17910073E-02  0.10325429E-08

   -2   -1    0
    1    1   -0.83074946E-03  0.29859448E-12
    2    1    0.51481484E-02  0.12339713E-11
    3    1    0.23749361E-02 -0.45941029E-12
    4    1    0.18688368E-09  0.15048033E-09
    5    1   -0.23167237E-09 -0.66624299E-10
    1    2   -0.54801753E-03 -0.30114661E-11
    2    2    0.37521529E-03 -0.12506662E-12
    3    2   -0.54801749E-03 -0.36201597E-12
    4    2    0.24352106E-09 -0.26784214E-09
    5    2   -0.11253521E-10 -0.19289446E-10
    1    3    0.23749362E-02 -0.18688123E-12
    2    3    0.51481528E-02  0.15748566E-11
    3    3   -0.83074957E-03 -0.92814645E-13
    4    3   -0.42462389E-09 -0.20925757E-09
    5    3    0.22611808E-09 -0.31702973E-11
    1    4    0.35730614E-09  0.24141828E-09
    2    4   -0.18849566E-09 -0.45009938E-09
    3    4   -0.11136923E-09  0.26130260E-09
    4    4    0.17910072E-02 -0.42511342E-09
    5    4   -0.12350058E-01  0.46948107E-09
    1    5   -0.96931148E-09 -0.16070134E-08
    2    5    0.27178402E-09 -0.14218652E-09
    3    5    0.10327106E-09  0.22038225E-09
    4    5   -0.16006610E-01  0.81646799E-09
    5    5    0.17910072E-02 -0.40451383E-09

   -2    0    0
    1    1    0.60495792E-01  0.34497960E-11
    2    1    0.51481405E-02  0.41947001E-11
    3    1   -0.39411452E-01  0.12860701E-11
    4    1    0.11267984E-09  0.62922234E-09
    5    1   -0.90383304E-09 -0.16686711E-09
    1    2   -0.22191918E-01 -0.40904918E-11
    2    2   -0.81821027E-02 -0.21110336E-11
    3    2    0.51481375E-02 -0.22719522E-11
    4    2    0.48950155E-09 -0.32144961E-09
    5    2   -0.38746532E-09  0.30045878E-09
    1    3   -0.14984565E+00  0.36844416E-11
    2    3   -0.22191924E-01  0.12156109E-11
    3    3    0.60495797E-01 -0.12985168E-11
    4    3    0.13110750E-09 -0.16649724E-08
    5    3    0.65851420E-09  0.28522236E-09
    1    4    0.27656185E-08  0.20520753E-08
    2    4   -0.24396057E-09  0.27607905E-09
    3    4   -0.36678453E-09 -0.59640896E-09
    4    4   -0.21438492E-03 -0.12619192E-08
    5    4   -0.80524447E-02  0.18546854E-09
    1    5   -0.78657157E-08 -0.58543022E-08
    2    5   -0.93450918E-09 -0.75848832E-09
    3    5    0.19372381E-08  0.13991626E-08
    4    5    0.16732728E-01  0.10406989E-08
    5    5   -0.21438505E-03 -0.11207242E-08

   -2    1    0
    1    1   -0.14207990E-01  0.42407189E-11
    2    1    0.23749276E-02  0.10751400E-11
    3    1    0.23749268E-02 -0.19825808E-12
    4    1    0.92065508E-09 -0.23282372E-09
    5    1   -0.33211675E-09 -0.28720572E-09
    1    2    0.81540622E-01  0.15815960E-11
    2    2    0.66361574E-02 -0.48814286E-11
    3    2   -0.22191962E-01 -0.60139393E-11
    4    2    0.29812443E-09  0.48363574E-09
    5    2   -0.29941708E-09  0.11299020E-09
    1    3    0.81540628E-01  0.51462445E-11
    2    3   -0.22191962E-01 -0.92671704E-12
    3    3    0.66361572E-02  0.60718097E-12
    4    3   -0.42275088E-09 -0.15848156E-08
    5    3   -0.22813519E-09  0.11262700E-08
    1    4   -0.67003225E-09  0.23402159E-08
    2    4    0.13824729E-08  0.63853203E-09
    3    4   -0.98351323E-09 -0.46194367E-09
    4    4    0.42808088E-01 -0.63548607E-09
    5    4   -0.16006611E-01  0.69982409E-09
    1    5    0.73577550E-08 -0.57114995E-09
    2    5   -0.18432463E-08 -0.13722294E-08
    3    5    0.18742714E-08 -0.31687627E-09
    4    5    0.16732728E-01  0.70133825E-09
    5    5    0.42808088E-01 -0.45663173E-09

   -2    2    0
    1    1    0.60495794E-01 -0.17393194E-11
    2    1   -0.39411451E-01 -0.11014443E-11
    3    1    0.51481396E-02  0.59224847E-12
    4    1    0.45667249E-09 -0.41685166E-09
    5    1   -0.34833458E-09  0.34843727E-09
    1    2   -0.14984565E+00 -0.13957969E-11
    2    2    0.60495794E-01  0.17762316E-11
    3    2   -0.22191923E-01 -0.37208431E-11
    4    2   -0.10634975E-09  0.18065030E-08
    5    2    0.31967512E-10 -0.53922279E-09
    1    3   -0.22191923E-01 -0.39629688E-11
    2    3    0.51481396E-02  0.36608910E-11
    3    3   -0.81821020E-02 -0.11893781E-12
    4    3   -0.59348951E-09 -0.38144309E-09
    5    3    0.11849916E-09  0.32362914E-09
    1    4   -0.21404778E-08  0.14048893E-08
    2    4    0.26093815E-10 -0.19184470E-09
    3    4    0.31309437E-09 -0.67975728E-10
    4    4   -0.21438515E-03 -0.49726370E-09
    5    4   -0.16006611E-01 -0.20970539E-09
    1    5    0.11074264E-08 -0.83570385E-09
    2    5   -0.27724335E-09  0.36896307E-09
    3    5   -0.86934329E-09  0.77445436E-10
    4    5   -0.16006610E-01  0.94955083E-09
    5    5   -0.21438501E-03 -0.62572151E-09

   -2    3    0
    1    1   -0.83074946E-03 -0.46306292E-11
    2    1    0.23749350E-02 -0.12890244E-11
    3    1    0.51481494E-02 -0.19365204E-11
    4    1   -0.22606343E-09  0.21340425E-09
    5    1    0.77583276E-09  0.64302359E-11
    1    2    0.23749350E-02 -0.33714698E-12
    2    2   -0.83074945E-03  0.29248826E-11
    3    2    0.51481494E-02  0.23868685E-11
    4    2   -0.61210993E-09  0.71884582E-10
    5    2    0.34366391E-09  0.30107038E-10
    1    3   -0.54801760E-03 -0.20650148E-13
    2    3   -0.54801760E-03  0.28261005E-11
    3    3    0.37521515E-03  0.17017499E-11
    4    3   -0.30575661E-09 -0.18687392E-09
    5    3    0.37180074E-10 -0.10868105E-09
    1    4   -0.14707001E-09  0.18509873E-09
    2    4    0.83903788E-11 -0.20003923E-09
    3    4    0.30322285E-09 -0.10190958E-09
    4    4    0.17910073E-02 -0.10591324E-08
    5    4   -0.80524448E-02  0.58144513E-09
    1    5   -0.21074705E-10 -0.31681044E-09
    2    5    0.18604267E-09  0.40657884E-09
    3    5    0.72380069E-10 -0.15393335E-09
    4    5    0.12502262E-01  0.58430871E-09
    5    5    0.17910073E-02 -0.10325433E-08

   -1   -2    0
    1    1    0.37521529E-03 -0.12867485E-11
    2    1   -0.54801753E-03  0.17745805E-11
    3    1   -0.54801749E-03 -0.78675955E-12
    4    1    0.30822743E-09  0.95751871E-10
    5    1   -0.39455719E-09  0.11276934E-10
    1    2    0.51481484E-02 -0.21437435E-11
    2    2   -0.83074946E-03  0.17499890E-11
    3    2    0.23749361E-02 -0.84804386E-12
    4    2    0.15380819E-09  0.43999092E-09
    5    2    0.35412516E-09 -0.70230911E-09
    1    3    0.51481529E-02  0.24461931E-11
    2    3    0.23749362E-02 -0.20445623E-12
    3    3   -0.83074958E-03 -0.50365268E-12
    4    3   -0.27904307E-09  0.12558577E-09
    5    3    0.29201093E-09  0.22445534E-09
    1    4   -0.14067523E-09  0.30712370E-09
    2    4   -0.15188202E-09 -0.13950668E-09
    3    4    0.10792664E-09  0.68902702E-10
    4    4    0.17910065E-02  0.59483145E-09
    5    4   -0.12350056E-01  0.91751662E-10
    1    5    0.15005533E-10 -0.37177759E-09
    2    5    0.12547956E-08  0.88929331E-09
    3    5   -0.15989760E-09 -0.43889281E-09
    4    5   -0.16006610E-01 -0.49958873E-09
    5    5    0.17910065E-02  0.60017080E-09

   -1   -1    0
    1    1    0.66361584E-02  0.82950868E-11
    2    1   -0.22191969E-01  0.41879278E-11
    3    1    0.23749266E-02  0.33520781E-11
    4    1   -0.62395085E-09  0.76435341E-09
    5    1    0.22068307E-09 -0.42142713E-10
    1    2   -0.22191969E-01 -0.44194232E-11
    2    2    0.66361584E-02 -0.60071392E-11
    3    2    0.23749266E-02 -0.20565342E-11
    4    2    0.75903060E-09 -0.74733970E-09
    5    2   -0.30177975E-09  0.49748229E-10
    1    3    0.81540676E-01  0.13069268E-11
    2    3    0.81540676E-01 -0.54449500E-11
    3    3   -0.14207992E-01 -0.22662983E-11
    4    3   -0.23018200E-08 -0.12348834E-08
    5    3    0.75275521E-09  0.20876567E-09
    1    4    0.14704058E-08  0.20711154E-08
    2    4   -0.21307791E-08 -0.46904843E-09
    3    4   -0.14004180E-09  0.43330996E-09
    4    4    0.42808086E-01  0.31597575E-09
    5    4   -0.12350056E-01 -0.27635065E-09
    1    5   -0.22134737E-08 -0.66700500E-08
    2    5    0.10230635E-07  0.64311664E-08
    3    5    0.49501374E-09 -0.36476303E-09
    4    5   -0.22660973E+00 -0.13723419E-08
    5    5    0.42808086E-01  0.39135568E-09

   -1    0    0
    1    1    0.57667211E+00  0.15251800E-10
    2    1    0.81540519E-01 -0.45941029E-12
    3    1   -0.14984584E+00  0.27260694E-11
    4    1   -0.23669542E-09  0.70979454E-08
    5    1   -0.59922413E-11 -0.22131674E-08
    1    2   -0.55662016E+00 -0.32627234E-11
    2    2   -0.11884004E+00 -0.12383539E-10
    3    2    0.81540481E-01 -0.34229564E-11
    4    2    0.60019491E-08 -0.22388385E-08
    5    2   -0.40901478E-09  0.64219914E-09
    1    3   -0.21544173E+01  0.24396637E-10
    2    3   -0.55662011E+00  0.20253521E-11
    3    3    0.57667215E+00 -0.28427261E-11
    4    3    0.14067782E-07 -0.10914099E-07
    5    3    0.94409682E-09  0.58041873E-08
    1    4    0.81565262E-08  0.23333178E-07
    2    4    0.86579228E-08  0.25455304E-08
    3    4   -0.53826265E-08 -0.56308883E-08
    4    4    0.20576528E+00  0.30864625E-09
    5    4    0.16732728E-01  0.38540376E-09
    1    5    0.30176336E-07 -0.25198680E-07
    2    5   -0.38679633E-07 -0.11514048E-07
    3    5    0.14477341E-07  0.11814438E-07
    4    5   -0.29311226E+01 -0.11504559E-08
    5    5    0.20576528E+00  0.10547269E-08

   -1    1    0
    1    1    0.57667212E+00 -0.88567927E-11
    2    1   -0.14984584E+00 -0.19516659E-12
    3    1    0.81540511E-01  0.73727136E-12
    4    1    0.88566559E-08  0.28554200E-08
    5    1   -0.43929803E-08 -0.13018547E-08
    1    2   -0.21544174E+01 -0.91235320E-11
    2    2    0.57667212E+00  0.64926810E-11
    3    2   -0.55662015E+00 -0.12551044E-10
    4    2   -0.19834454E-07  0.27790447E-07
    5    2    0.32010265E-08 -0.66136123E-08
    1    3   -0.55662015E+00 -0.42326281E-11
    2    3    0.81540511E-01  0.10372606E-10
    3    3   -0.11884003E+00  0.24030448E-11
    4    3   -0.47809288E-08 -0.28213742E-08
    5    3    0.27278229E-08  0.34604319E-08
    1    4   -0.14985756E-07  0.14726810E-07
    2    4    0.69710720E-08 -0.22041947E-09
    3    4   -0.51323912E-08 -0.67370084E-09
    4    4    0.20576528E+00  0.12758048E-09
    5    4   -0.22660973E+00 -0.35132527E-09
    1    5    0.61245659E-08 -0.47475951E-08
    2    5   -0.27103787E-08  0.40932132E-09
    3    5   -0.20622206E-08 -0.21762930E-08
    4    5   -0.22660973E+00 -0.52076399E-09
    5    5    0.20576528E+00  0.71581179E-09

   -1    2    0
    1    1    0.66361574E-02 -0.96892494E-11
    2    1    0.23749275E-02 -0.64021011E-12
    3    1   -0.22191961E-01 -0.54357630E-11
    4    1    0.97832014E-09  0.56706807E-09
    5    1   -0.22318027E-08 -0.11593754E-08
    1    2    0.81540622E-01 -0.50563997E-11
    2    2   -0.14207990E-01  0.11061818E-10
    3    2    0.81540628E-01  0.41825848E-11
    4    2   -0.19720390E-08  0.42310121E-08
    5    2    0.11354601E-08 -0.56291396E-08
    1    3   -0.22191962E-01  0.14419022E-12
    2    3    0.23749268E-02  0.42358062E-11
    3    3    0.66361572E-02 -0.14082069E-11
    4    3   -0.79128672E-09 -0.58344658E-09
    5    3    0.21778508E-08  0.13340283E-08
    1    4   -0.13001067E-08  0.93626043E-09
    2    4    0.40000463E-09 -0.45455298E-09
    3    4    0.12139708E-08  0.39750140E-09
    4    4    0.42808087E-01  0.25025480E-09
    5    4    0.16732729E-01 -0.49947560E-10
    1    5    0.12074292E-10 -0.24642874E-09
    2    5   -0.31821954E-09  0.25886296E-09
    3    5   -0.11430696E-08  0.13333795E-09
    4    5   -0.16006610E-01 -0.11674751E-08
    5    5    0.42808087E-01  0.57634833E-09

   -1    3    0
    1    1    0.37521529E-03 -0.12886359E-11
    2    1   -0.54801753E-03  0.17745944E-11
    3    1   -0.54801749E-03 -0.78667628E-12
    4    1    0.30822743E-09  0.95751871E-10
    5    1   -0.39455719E-09  0.11276934E-10
    1    2    0.51481484E-02 -0.21446872E-11
    2    2   -0.83074946E-03  0.17479351E-11
    3    2    0.23749361E-02 -0.84829366E-12
    4    2    0.15380819E-09  0.43999092E-09
    5    2    0.35412516E-09 -0.70230911E-09
    1    3    0.51481529E-02  0.24452845E-11
    2    3    0.23749362E-02 -0.20479582E-12
    3    3   -0.83074958E-03 -0.50576210E-12
    4    3   -0.27904307E-09  0.12558577E-09
    5    3    0.29201093E-09  0.22445534E-09
    1    4   -0.14067523E-09  0.30712370E-09
    2    4   -0.15188202E-09 -0.13950668E-09
    3    4    0.10792664E-09  0.68902702E-10
    4    4    0.17910065E-02  0.59483102E-09
    5    4   -0.12350056E-01  0.91751884E-10
    1    5    0.15005533E-10 -0.37177759E-09
    2    5    0.12547956E-08  0.88929331E-09
    3    5   -0.15989760E-09 -0.43889281E-09
    4    5   -0.16006610E-01 -0.49958977E-09
    5    5    0.17910065E-02  0.60017034E-09

    0   -2    0
    1    1   -0.81821027E-02  0.46212478E-11
    2    1   -0.22191918E-01  0.13344326E-11
    3    1    0.51481375E-02  0.14009860E-11
    4    1   -0.48376585E-09  0.98825559E-10
    5    1   -0.15231711E-09 -0.44991581E-09
    1    2    0.51481405E-02 -0.84969531E-12
    2    2    0.60495792E-01 -0.50973670E-11
    3    2   -0.39411452E-01 -0.16694306E-11
    4    2    0.37231109E-09  0.35950425E-09
    5    2   -0.34644584E-09 -0.64339698E-09
    1    3   -0.22191924E-01  0.35377257E-11
    2    3   -0.14984565E+00 -0.12765344E-11
    3    3    0.60495797E-01  0.44497739E-12
    4    3    0.17354364E-08  0.69783906E-09
    5    3    0.45855848E-10 -0.27701486E-09
    1    4   -0.13413610E-09 -0.41642473E-11
    2    4   -0.12336144E-08 -0.29369917E-08
    3    4    0.12533756E-09  0.54412823E-09
    4    4   -0.21438467E-03 -0.57664895E-09
    5    4   -0.80524446E-02 -0.37083206E-09
    1    5   -0.56031281E-09  0.25588756E-09
    2    5    0.29814705E-08  0.92832349E-08
    3    5    0.16955684E-08 -0.93487207E-09
    4    5    0.16732727E-01  0.62239602E-09
    5    5   -0.21438478E-03 -0.61585734E-09

    0   -1    0
