 written on  3Sep2026 at 08:14:27 
   2.1354903421575360       -1.2329259238968218        0.0000000000000000     
   2.1354903421575360        1.2329259238968218        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.875316257699998     
           5
          55
    2    1    2    2    1    1    1    1    2    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    2    1    1    1    1    2    2    1    2

   -4    1    0
    1    1   -0.81364740E-04  0.55994098E-12
    2    1   -0.93159410E-04 -0.55143390E-12
    3    1    0.18474472E-03 -0.78576471E-13
    4    1   -0.33569568E-11  0.20103447E-10
    5    1    0.47025514E-10 -0.18731111E-10
    1    2    0.67128900E-03  0.23438196E-12
    2    2    0.89677372E-04 -0.39543369E-12
    3    2    0.67134710E-03 -0.65962980E-12
    4    2    0.26559111E-10  0.54539627E-10
    5    2    0.30655307E-10 -0.65852463E-11
    1    3    0.18472343E-03  0.73344109E-12
    2    3   -0.93152650E-04  0.44801662E-12
    3    3   -0.81390674E-04 -0.17594259E-12
    4    3   -0.77135975E-10 -0.50863797E-10
    5    3    0.52636133E-10  0.44660859E-10
    1    4   -0.35670513E-10  0.18062362E-10
    2    4   -0.14306659E-10  0.49993237E-11
    3    4    0.17426976E-10 -0.89776296E-10
    4    4    0.12011311E-02 -0.63974000E-10
    5    4    0.97044079E-03  0.19807527E-10
    1    5   -0.67171488E-11  0.18121218E-10
    2    5   -0.12456267E-11  0.28313352E-10
    3    5   -0.57154117E-11  0.14729625E-10
    4    5   -0.77885398E-03 -0.18027968E-10
    5    5    0.12011311E-02 -0.60830539E-10

   -4    2    0
    1    1   -0.30897050E-03  0.98321351E-12
    2    1    0.99667656E-04 -0.77438056E-14
    3    1    0.99666422E-04 -0.12691376E-11
    4    1    0.29773423E-10  0.22666193E-10
    5    1   -0.19260519E-10 -0.35725562E-10
    1    2    0.42630291E-03 -0.15869250E-12
    2    2   -0.38449975E-04  0.25429658E-12
    3    2   -0.93165604E-04 -0.79661278E-12
    4    2    0.10476590E-10 -0.18493029E-10
    5    2   -0.38188052E-10 -0.27518294E-10
    1    3    0.42630270E-03  0.97102881E-12
    2    3   -0.93168923E-04 -0.15221158E-12
    3    3   -0.38449802E-04 -0.12284063E-11
    4    3    0.29060801E-10  0.98573351E-11
    5    3    0.14781277E-11  0.34707246E-10
    1    4    0.20293944E-10 -0.61453705E-10
    2    4    0.11141364E-10  0.14058010E-10
    3    4    0.22691095E-10  0.23021694E-10
    4    4    0.54068176E-03  0.66106356E-11
    5    4   -0.32715843E-02  0.10906241E-09
    1    5    0.35425131E-11  0.24331825E-10
    2    5   -0.18930638E-10 -0.38016336E-10
    3    5    0.83012245E-11 -0.43256214E-10
    4    5   -0.77885216E-03  0.28640174E-10
    5    5    0.54068178E-03  0.25422164E-11

   -4    3    0
    1    1   -0.81376382E-04  0.66022188E-12
    2    1    0.18473207E-03  0.53670957E-12
    3    1   -0.93157838E-04 -0.84807161E-12
    4    1   -0.16206630E-10 -0.46353319E-10
    5    1   -0.14138014E-10 -0.21082007E-11
    1    2    0.18473312E-03 -0.23651914E-12
    2    2   -0.81377039E-04  0.74859563E-12
    3    2   -0.93156094E-04 -0.28646530E-12
    4    2   -0.20312154E-10  0.72392300E-11
    5    2    0.28692850E-10 -0.17516061E-10
    1    3    0.67131057E-03 -0.19324820E-13
    2    3    0.67131101E-03 -0.34577896E-12
    3    3    0.89681819E-04 -0.13763435E-11
    4    3   -0.47263887E-10 -0.30289583E-10
    5    3   -0.44036317E-10 -0.39715245E-10
    1    4   -0.41697355E-10  0.26694415E-10
    2    4    0.32252172E-10  0.16465386E-10
    3    4    0.10913485E-10  0.31265726E-10
    4    4    0.12011340E-02 -0.27743967E-10
    5    4   -0.32715845E-02 -0.91709307E-10
    1    5    0.31337159E-10 -0.95885839E-11
    2    5   -0.49125299E-10  0.13666675E-10
    3    5   -0.61487283E-11  0.44380524E-10
    4    5    0.41055566E-02  0.53773735E-10
    5    5    0.12011340E-02 -0.73585339E-10

   -3   -1    0
    1    1   -0.81390875E-04 -0.56023242E-12
    2    1    0.67134599E-03 -0.23384072E-12
    3    1    0.18474337E-03 -0.73319129E-12
    4    1   -0.35670365E-10 -0.18062468E-10
    5    1   -0.67172858E-11 -0.18121285E-10
    1    2   -0.93152001E-04  0.55130900E-12
    2    2    0.89677372E-04  0.39476755E-12
    3    2   -0.93160059E-04 -0.44832194E-12
    4    2   -0.14306743E-10 -0.49992727E-11
    5    2   -0.12455623E-11 -0.28313296E-10
    1    3    0.18472477E-03  0.78638908E-13
    2    3    0.67129011E-03  0.66005134E-12
    3    3   -0.81364538E-04  0.17554014E-12
    4    3    0.17427191E-10  0.89776287E-10
    5    3   -0.57154749E-11 -0.14729681E-10
    1    4   -0.33570076E-11 -0.20103414E-10
    2    4    0.26559188E-10 -0.54539507E-10
    3    4   -0.77135943E-10  0.50863740E-10
    4    4    0.12011311E-02  0.63973753E-10
    5    4   -0.77884665E-03  0.18027857E-10
    1    5    0.47025274E-10  0.18731054E-10
    2    5    0.30654948E-10  0.65847051E-11
    3    5    0.52635870E-10 -0.44660617E-10
    4    5    0.97031713E-03 -0.19807236E-10
    5    5    0.12011311E-02  0.60830355E-10

   -3    0    0
    1    1    0.98386707E-02 -0.98812625E-12
    2    1    0.67127947E-03 -0.35091374E-12
    3    1   -0.70789577E-02 -0.23263173E-12
    4    1    0.26819540E-10 -0.37225418E-10
    5    1    0.88482782E-11 -0.11842387E-11
    1    2   -0.24757001E-02 -0.48247517E-12
    2    2   -0.90572197E-03  0.34020009E-12
    3    2    0.67127382E-03  0.19379864E-12
    4    2    0.24592641E-10 -0.20206121E-10
    5    2    0.11870444E-10  0.45779098E-10
    1    3   -0.20460969E-01 -0.74053264E-12
    2    3   -0.24757060E-02  0.14520052E-11
    3    3    0.98386633E-02  0.64118155E-12
    4    3   -0.47498239E-10 -0.32687541E-10
    5    3    0.13332615E-10 -0.59311231E-10
    1    4   -0.20224849E-10 -0.44018304E-10
    2    4   -0.16011534E-10 -0.65965523E-11
    3    4   -0.95062525E-11 -0.44901156E-10
    4    4   -0.24563378E-02  0.87316793E-10
    5    4    0.41055729E-02 -0.50557367E-10
    1    5   -0.13211572E-10  0.43187344E-10
    2    5   -0.32688864E-10  0.94692069E-10
    3    5   -0.65341214E-10  0.12845794E-09
    4    5   -0.12308749E-02 -0.14761831E-09
    5    5   -0.24563378E-02  0.36357081E-10

   -3    1    0
    1    1   -0.15184301E-02 -0.66535666E-12
    2    1    0.42631007E-03  0.36448622E-12
    3    1    0.18472075E-03 -0.63682393E-12
    4    1    0.13514537E-10 -0.10825039E-10
    5    1   -0.10045194E-10  0.27719227E-10
    1    2    0.75895133E-02 -0.97209740E-12
    2    2    0.32814002E-03  0.15543122E-14
    3    2   -0.24757462E-02 -0.77826634E-12
    4    2    0.77221232E-10  0.89293420E-10
    5    2   -0.42934885E-10 -0.36213936E-10
    1    3    0.22989509E-02  0.14273999E-11
    2    3   -0.14871570E-02  0.16241869E-11
    3    3    0.68781602E-03  0.66491257E-12
    4    3   -0.98254042E-10  0.64049262E-10
    5    3    0.16063295E-09  0.35803374E-10
    1    4    0.58659895E-10  0.35030463E-10
    2    4    0.14181724E-10 -0.83334152E-10
    3    4   -0.20551161E-10 -0.35912715E-10
    4    4    0.17680110E-02  0.96301453E-10
    5    4    0.97031821E-03 -0.71878600E-10
    1    5   -0.15486771E-10 -0.14280759E-09
    2    5   -0.10160931E-10 -0.73470954E-11
    3    5    0.13731898E-09 -0.81635823E-10
    4    5   -0.15575277E-01  0.24902674E-09
    5    5    0.17680110E-02  0.10646261E-09

   -3    2    0
    1    1   -0.15184414E-02  0.11060042E-11
    2    1    0.18473161E-03  0.54531379E-12
    3    1    0.42630900E-03 -0.10543094E-11
    4    1    0.48236171E-10  0.14107376E-10
    5    1   -0.37025416E-10 -0.78453750E-11
    1    2    0.22989585E-02 -0.10292600E-11
    2    2    0.68781051E-03 -0.10930701E-11
    3    2   -0.14871569E-02 -0.11138174E-11
    4    2   -0.10466257E-10 -0.87041501E-10
    5    2   -0.41915028E-10  0.55693436E-10
    1    3    0.75895659E-02  0.26000382E-11
    2    3   -0.24756947E-02 -0.11445705E-12
    3    3    0.32811929E-03 -0.20011770E-13
    4    3   -0.63353657E-11 -0.15667893E-10
    5    3    0.24462726E-10 -0.32894447E-10
    1    4   -0.14607355E-10  0.62866194E-10
    2    4    0.25527214E-10  0.26034044E-10
    3    4   -0.78675325E-10  0.28618898E-10
    4    4    0.17680053E-02 -0.14546142E-10
    5    4    0.31209495E-02 -0.11660603E-09
    1    5    0.95274901E-10  0.81123869E-10
    2    5   -0.78874831E-10  0.88773630E-10
    3    5   -0.56515199E-10 -0.27685648E-11
    4    5   -0.12307636E-02 -0.79414496E-10
    5    5    0.17680052E-02 -0.19380095E-10

   -3    3    0
    1    1    0.98389306E-02  0.49209518E-12
    2    1   -0.70789754E-02  0.57689891E-13
    3    1    0.67129917E-03  0.53600180E-12
    4    1   -0.62197014E-11 -0.61743058E-11
    5    1   -0.50153842E-11  0.21561219E-10
    1    2   -0.20460891E-01 -0.55278329E-12
    2    2    0.98389307E-02 -0.15120895E-11
    3    2   -0.24756545E-02 -0.52759186E-12
    4    2    0.48923026E-10 -0.15952823E-11
    5    2    0.20814633E-10  0.11776019E-10
    1    3   -0.24756545E-02  0.80808277E-12
    2    3    0.67129916E-03 -0.24325680E-12
    3    3   -0.90546213E-03  0.10737409E-11
    4    3    0.16672019E-12  0.14942792E-10
    5    3    0.60275872E-10  0.73592413E-10
    1    4   -0.50678985E-10 -0.59858696E-10
    2    4    0.73568861E-10 -0.47250358E-10
    3    4   -0.17300506E-10 -0.46400228E-10
    4    4   -0.24562716E-02  0.17707408E-09
    5    4    0.97036723E-03 -0.66240652E-10
    1    5    0.69126312E-10 -0.63205682E-10
    2    5   -0.39843244E-10  0.18602810E-10
    3    5    0.69669130E-10 -0.18937760E-10
    4    5    0.97036739E-03 -0.21922643E-09
    5    5   -0.24562716E-02  0.18464784E-09

   -3    4    0
    1    1   -0.81377044E-04 -0.66133210E-12
    2    1    0.18473208E-03  0.23635260E-12
    3    1    0.67131102E-03  0.19088897E-13
    4    1   -0.41697344E-10 -0.26694401E-10
    5    1    0.31337155E-10  0.95885814E-11
    1    2    0.18473312E-03 -0.53686222E-12
    2    2   -0.81376377E-04 -0.74948381E-12
    3    2    0.67131056E-03  0.34558467E-12
    4    2    0.32252176E-10 -0.16465391E-10
    5    2   -0.49125314E-10 -0.13666663E-10
    1    3   -0.93156092E-04  0.84800222E-12
    2    3   -0.93157840E-04  0.28636815E-12
    3    3    0.89681819E-04  0.13753720E-11
    4    3    0.10913480E-10 -0.31265726E-10
    5    3   -0.61487220E-11 -0.44380525E-10
    1    4   -0.16206621E-10  0.46353328E-10
    2    4   -0.20312152E-10 -0.72392110E-11
    3    4   -0.47263882E-10  0.30289584E-10
    4    4    0.12011340E-02  0.27743766E-10
    5    4    0.41055566E-02 -0.53774152E-10
    1    5   -0.14138009E-10  0.21082057E-11
    2    5    0.28692840E-10  0.17516041E-10
    3    5   -0.44036320E-10  0.39715242E-10
    4    5   -0.32715845E-02  0.91709251E-10
    5    5    0.12011340E-02  0.73585096E-10

   -2   -2    0
    1    1   -0.38450655E-04 -0.12215090E-11
    2    1   -0.93165100E-04 -0.55426497E-12
    3    1    0.99666486E-04 -0.13299223E-11
    4    1   -0.10605002E-10 -0.23882697E-10
    5    1   -0.83437403E-11 -0.26342525E-10
    1    2   -0.93165099E-04  0.82753249E-12
    2    2   -0.38450655E-04  0.93286490E-12
    3    2    0.99666487E-04  0.20435043E-12
    4    2   -0.33571447E-10 -0.13802860E-10
    5    2    0.12754786E-10  0.99130472E-11
    1    3    0.42630165E-03  0.33539186E-12
    2    3    0.42630165E-03  0.93102902E-12
    3    3   -0.30896882E-03  0.28423097E-12
    4    3    0.87181045E-10  0.51031593E-10
    5    3   -0.29113945E-10  0.96813482E-11
    1    4    0.12014948E-10 -0.17668848E-10
    2    4    0.83951667E-11  0.19167525E-10
    3    4   -0.51119409E-11  0.54877565E-10
    4    4    0.54068242E-03 -0.66957686E-10
    5    4    0.47159028E-03  0.12719464E-09
    1    5    0.38507956E-10 -0.24560281E-10
    2    5   -0.17247780E-10 -0.96289737E-10
    3    5    0.33026147E-10 -0.10066792E-09
    4    5    0.31209492E-02  0.13580569E-09
    5    5    0.54068232E-03 -0.54146528E-10

   -2   -1    0
    1    1    0.68781743E-03 -0.18016422E-11
    2    1   -0.24757502E-02  0.59584282E-13
    3    1    0.18472141E-03 -0.11568667E-11
    4    1   -0.29278495E-10 -0.27850493E-10
    5    1    0.51905142E-10  0.31605222E-10
    1    2   -0.14871586E-02 -0.22776225E-12
    2    2    0.32813875E-03  0.16967816E-11
    3    2    0.42630848E-03  0.23561241E-12
    4    2    0.19062345E-10  0.24400259E-10
    5    2    0.11509291E-10 -0.47899776E-11
    1    3    0.22989540E-02 -0.48883120E-12
    2    3    0.75895248E-02  0.16183027E-11
    3    3   -0.15184291E-02  0.94979580E-13
    4    3   -0.98066251E-10  0.53096185E-10
    5    3   -0.69563745E-10 -0.12689365E-09
    1    4   -0.10543016E-09 -0.36530403E-10
    2    4    0.30049564E-10  0.42757952E-10
    3    4    0.31415799E-10  0.66381973E-10
    4    4    0.17680122E-02 -0.19562255E-10
    5    4   -0.77885419E-03  0.37777930E-10
    1    5    0.19177431E-09  0.26741778E-09
    2    5   -0.77336745E-10  0.54794521E-10
    3    5   -0.29540076E-09  0.14155139E-09
    4    5   -0.13889022E-01 -0.24675656E-09
    5    5    0.17680122E-02 -0.30194739E-10

   -2    0    0
    1    1    0.52447508E-01 -0.17354451E-11
    2    1    0.75894764E-02 -0.24646951E-13
    3    1   -0.20461090E-01  0.43354209E-12
    4    1    0.11527182E-09 -0.37185072E-10
    5    1   -0.82930860E-10  0.41389585E-10
    1    2   -0.22752562E-01 -0.10939027E-11
    2    2   -0.70823722E-02  0.53151927E-12
    3    2    0.75894532E-02 -0.15638879E-12
    4    2   -0.60312762E-10  0.81591176E-10
    5    2   -0.65811003E-10 -0.54682067E-10
    1    3   -0.14657339E+00 -0.65880634E-12
    2    3   -0.22752597E-01  0.26718489E-11
    3    3    0.52447478E-01  0.11786683E-11
    4    3    0.27462747E-09  0.29554208E-09
    5    3    0.46442233E-10 -0.28483876E-10
    1    4    0.56309554E-10 -0.37960329E-09
    2    4    0.42620576E-11  0.79475108E-10
    3    4    0.19316535E-09 -0.81609186E-10
    4    4   -0.46582361E-02  0.77965703E-10
    5    4   -0.12308754E-02 -0.37629483E-10
    1    5    0.48690373E-10  0.72237857E-09
    2    5   -0.83279692E-11 -0.50329089E-09
    3    5    0.44797345E-10 -0.11457649E-09
    4    5    0.15148064E-01  0.18792154E-09
    5    5   -0.46582361E-02  0.10424583E-09

   -2    1    0
    1    1   -0.16111253E-01 -0.38588577E-12
    2    1    0.22989842E-02 -0.64667716E-12
    3    1    0.22989625E-02 -0.86895768E-12
    4    1    0.77638581E-10  0.55817290E-10
    5    1   -0.51431908E-11 -0.11705698E-10
    1    2    0.81430341E-01  0.12904955E-11
    2    2    0.76323907E-02 -0.10918488E-11
    3    2   -0.22752580E-01 -0.19051705E-11
    4    2   -0.23321991E-09 -0.60385443E-10
    5    2   -0.60648375E-10 -0.20894727E-09
    1    3    0.81430381E-01  0.43672149E-11
    2    3   -0.22752545E-01  0.20466753E-11
    3    3    0.76323872E-02  0.14643842E-11
    4    3   -0.64794080E-09 -0.60442431E-10
    5    3    0.40084691E-10 -0.15028293E-09
    1    4   -0.65532303E-09  0.20872239E-09
    2    4    0.15373732E-09 -0.77535641E-10
    3    4   -0.12624394E-09  0.19756788E-09
    4    4    0.43311168E-01 -0.54027086E-09
    5    4   -0.13889022E-01  0.14273815E-09
    1    5    0.11169604E-08 -0.33856076E-09
    2    5   -0.29064232E-09  0.71835449E-09
    3    5    0.32593917E-09 -0.36696173E-09
    4    5    0.15148114E-01  0.24584974E-09
    5    5    0.43311168E-01 -0.76912573E-09

   -2    2    0
    1    1    0.52447802E-01  0.15923994E-11
    2    1   -0.20461016E-01 -0.15281561E-11
    3    1    0.75895279E-02 -0.50209836E-13
    4    1    0.53887819E-10  0.65530631E-10
    5    1   -0.70065215E-10 -0.13542891E-09
    1    2   -0.14657333E+00  0.69357366E-12
    2    2    0.52447802E-01 -0.31426008E-11
    3    2   -0.22752564E-01 -0.15930798E-11
    4    2    0.12626439E-09 -0.98045292E-10
    5    2   -0.19955136E-10  0.14219134E-09
    1    3   -0.22752563E-01  0.29044475E-11
    2    3    0.75895279E-02  0.16434076E-12
    3    3   -0.70820621E-02  0.15267206E-11
    4    3    0.85259671E-10 -0.28942428E-10
    5    3   -0.16897770E-10  0.45222625E-10
    1    4   -0.25656328E-09 -0.30086346E-09
    2    4    0.95349648E-10 -0.14555317E-09
    3    4    0.13213961E-09  0.18848415E-09
    4    4   -0.46581601E-02 -0.15704888E-10
    5    4   -0.13888959E-01  0.33490344E-09
    1    5    0.12055889E-09 -0.23785335E-10
    2    5   -0.20627769E-09 -0.94272734E-10
    3    5   -0.91548866E-10 -0.18344723E-09
    4    5   -0.13888960E-01 -0.30261345E-09
    5    5   -0.46581602E-02 -0.12190131E-11

   -2    3    0
    1    1    0.68781051E-03 -0.71354034E-12
    2    1    0.18473160E-03 -0.17367774E-11
