 written on  3Sep2026 at 08:14:26 
   2.1354903421575360       -1.2329259238968218        0.0000000000000000     
   2.1354903421575360        1.2329259238968218        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.875316257699998     
           5
          73
    2    2    2    1    1    1    2    2    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    2    2    1    1    1    2    2    2

   -5    2    0
    1    1   -0.59307896E-04  0.12420620E-12
    2    1    0.61888766E-06  0.45739107E-12
    3    1    0.69360783E-04  0.48940019E-13
    4    1    0.47026959E-10 -0.15962018E-11
    5    1   -0.25960471E-10 -0.82228551E-10
    1    2    0.42663244E-04 -0.49620724E-12
    2    2   -0.57068633E-05  0.43992587E-13
    3    2    0.42663278E-04  0.14400287E-12
    4    2    0.16242215E-10  0.10122304E-10
    5    2   -0.47634900E-12 -0.63900504E-10
    1    3    0.69360828E-04  0.59133254E-13
    2    3    0.61892383E-06  0.20951296E-12
    3    3   -0.59307841E-04 -0.16409096E-12
    4    3   -0.18645825E-10  0.67555878E-10
    5    3   -0.19700504E-10  0.39866297E-10
    1    4    0.83275719E-10 -0.38159330E-10
    2    4    0.50605507E-11 -0.26656880E-10
    3    4   -0.31354426E-10 -0.54554732E-11
    4    4    0.99632681E-04 -0.21027000E-11
    5    4   -0.20478408E-02 -0.46951415E-10
    1    5   -0.49953830E-10  0.54282371E-10
    2    5    0.83176605E-11  0.31021528E-10
    3    5   -0.91187721E-11 -0.61517565E-10
    4    5    0.31036431E-03 -0.39869913E-10
    5    5    0.99632711E-04  0.41227646E-11

   -5    3    0
    1    1   -0.59307878E-04 -0.36359804E-12
    2    1    0.69360757E-04 -0.41341930E-12
    3    1    0.61888408E-06 -0.65883410E-12
    4    1    0.52442996E-10 -0.11970132E-10
    5    1   -0.72195925E-10 -0.39145807E-11
    1    2    0.69360757E-04  0.36204373E-12
    2    2   -0.59307878E-04  0.29215519E-12
    3    2    0.61888338E-06  0.91940344E-13
    4    2   -0.51336363E-11 -0.53340071E-10
    5    2    0.11261226E-10  0.33701706E-10
    1    3    0.42663367E-04  0.16492363E-12
    2    3    0.42663366E-04  0.59688365E-13
    3    3   -0.57068443E-05  0.75078832E-13
    4    3    0.41554979E-10 -0.40866239E-10
    5    3    0.25093966E-10 -0.54086141E-10
    1    4    0.41589089E-10 -0.54896879E-10
    2    4   -0.22739349E-10 -0.37907152E-11
    3    4    0.42208674E-10  0.52883818E-10
    4    4    0.99632655E-04  0.41981897E-10
    5    4    0.35282632E-02  0.17513269E-10
    1    5   -0.45181165E-10  0.69028927E-11
    2    5    0.75842313E-11 -0.62443019E-10
    3    5    0.16388543E-10  0.38896446E-10
    4    5   -0.23893080E-02 -0.79510939E-10
    5    5    0.99632681E-04  0.37559046E-10

   -4    0    0
    1    1    0.32157619E-02 -0.82979294E-15
    2    1   -0.25009000E-03  0.45305044E-12
    3    1   -0.42771418E-02 -0.39161036E-12
    4    1   -0.10112249E-09 -0.15109047E-10
    5    1    0.54716637E-10  0.10458721E-09
    1    2   -0.25009000E-03 -0.45334906E-12
    2    2   -0.23886088E-03 -0.87490004E-15
    3    2   -0.25009332E-03 -0.67290618E-12
    4    2   -0.14533261E-10 -0.19054777E-10
    5    2    0.26960036E-10  0.67409639E-10
    1    3   -0.42771418E-02  0.39108994E-12
    2    3   -0.25009332E-03  0.67261474E-12
    3    3    0.32157583E-02 -0.88787485E-15
    4    3    0.79804022E-10 -0.24442664E-10
    5    3   -0.52132013E-11 -0.38342711E-10
    1    4   -0.10112249E-09  0.15109047E-10
    2    4   -0.14533261E-10  0.19054777E-10
    3    4    0.79804022E-10  0.24442664E-10
    4    4   -0.29943326E-02 -0.24222586E-15
    5    4    0.23142558E-02 -0.41873477E-10
    1    5    0.54716637E-10 -0.10458721E-09
    2    5    0.26960036E-10 -0.67409639E-10
    3    5   -0.52132013E-11  0.38342711E-10
    4    5    0.23142558E-02  0.41872755E-10
    5    5   -0.29943325E-02 -0.23585421E-15

   -4    1    0
    1    1   -0.16552038E-03  0.14294121E-12
    2    1    0.42661264E-04  0.71519179E-13
    3    1    0.33130086E-04  0.59049987E-14
    4    1   -0.45432517E-10 -0.21045936E-11
    5    1    0.73400638E-10 -0.10087792E-10
    1    2    0.10219032E-02  0.86033264E-12
    2    2    0.55453318E-04 -0.61645133E-12
    3    2   -0.25009739E-03 -0.19791807E-12
